tier,layer,component,perturbation,mean_delta,std_delta
tier_1,28,attn_out,code_switching,1.3552527156068805e-20,0.0005
tier_1,28,attn_out,standard_translation,-0.00017500000000000003,0.000525
tier_1,28,attn_out,transliteration,0.002175,0.001025
tier_1,28,mlp_out,code_switching,-0.00035,0.000975
tier_1,28,mlp_out,standard_translation,0.00039999999999999996,0.002125
tier_1,28,mlp_out,transliteration,0.0016250000000000001,0.005075
tier_1,28,residual,code_switching,-0.00255,0.00465
tier_1,28,residual,standard_translation,0.00535,0.002675
tier_1,28,residual,transliteration,0.008275,0.00765
tier_1,29,attn_out,code_switching,-0.00025,0.000375
tier_1,29,attn_out,standard_translation,-0.000525,0.000475
tier_1,29,attn_out,transliteration,-0.0007749999999999999,0.002675
tier_1,29,mlp_out,code_switching,-0.000375,0.0012749999999999999
tier_1,29,mlp_out,standard_translation,0.00015000000000000001,0.00155
tier_1,29,mlp_out,transliteration,0.006775,0.005475
tier_1,29,residual,code_switching,-0.0006749999999999999,0.0034750000000000002
tier_1,29,residual,standard_translation,0.00345,0.0023
tier_1,29,residual,transliteration,0.00485,0.006699999999999999
tier_1,30,attn_out,code_switching,-4.9999999999999996e-05,0.000175
tier_1,30,attn_out,standard_translation,-4.9999999999999996e-05,0.00039999999999999996
tier_1,30,attn_out,transliteration,0.0028,0.00185
tier_1,30,mlp_out,code_switching,-0.000275,0.00035
tier_1,30,mlp_out,standard_translation,-0.0011,0.000475
tier_1,30,mlp_out,transliteration,-0.0007,0.002
tier_1,30,residual,code_switching,7.500000000000002e-05,0.0011
tier_1,30,residual,standard_translation,0.001475,0.00095
tier_1,30,residual,transliteration,0.0033750000000000004,0.0031249999999999997
tier_1,31,attn_out,code_switching,0.0,0.0
tier_1,31,attn_out,standard_translation,0.0,0.0
tier_1,31,attn_out,transliteration,0.0,0.0
tier_1,31,mlp_out,code_switching,0.0,0.0
tier_1,31,mlp_out,standard_translation,0.0,0.0
tier_1,31,mlp_out,transliteration,0.0,0.0
tier_1,31,residual,code_switching,0.0,0.0
tier_1,31,residual,standard_translation,0.0,0.0
tier_1,31,residual,transliteration,0.0,0.0
tier_2,0,attn_out,code_switching,-0.00465,0.061425
tier_2,0,attn_out,standard_translation,-0.0116,0.0268
tier_2,0,attn_out,transliteration,-0.024725,0.038425
tier_2,0,mlp_out,code_switching,0.0296,0.030025
tier_2,0,mlp_out,standard_translation,-0.004450000000000001,0.051225
tier_2,0,mlp_out,transliteration,0.012374999999999999,0.053275
tier_2,0,residual,code_switching,0.027375,0.055150000000000005
tier_2,0,residual,standard_translation,-0.034899999999999994,0.08135
tier_2,0,residual,transliteration,0.20157499999999998,0.120425
tier_2,1,attn_out,code_switching,0.001425,0.046325
tier_2,1,attn_out,standard_translation,-0.013175000000000001,0.021325
tier_2,1,attn_out,transliteration,-0.0125,0.036875
tier_2,1,mlp_out,code_switching,0.00515,0.053125
tier_2,1,mlp_out,standard_translation,0.0007999999999999995,0.024050000000000002
tier_2,1,mlp_out,transliteration,-0.0143,0.03315
tier_2,1,residual,code_switching,0.029400000000000003,0.076575
tier_2,1,residual,standard_translation,-0.034775,0.07592499999999999
tier_2,1,residual,transliteration,0.0708,0.071675
tier_2,2,attn_out,code_switching,-4.99999999999997e-05,0.025525
tier_2,2,attn_out,standard_translation,-0.001225,0.015825
tier_2,2,attn_out,transliteration,-0.01035,0.024075
tier_2,2,mlp_out,code_switching,0.0352,0.0561
tier_2,2,mlp_out,standard_translation,-0.0049499999999999995,0.0341
tier_2,2,mlp_out,transliteration,-0.013175,0.0362
tier_2,2,residual,code_switching,0.03855,0.081025
tier_2,2,residual,standard_translation,-0.018750000000000003,0.067025
tier_2,2,residual,transliteration,0.066375,0.069675
tier_2,3,attn_out,code_switching,-0.0004999999999999996,0.02895
tier_2,3,attn_out,standard_translation,-0.026875,0.037425
tier_2,3,attn_out,transliteration,-0.01855,0.040850000000000004
tier_2,3,mlp_out,code_switching,0.0151,0.046125
tier_2,3,mlp_out,standard_translation,-0.02845,0.029375
tier_2,3,mlp_out,transliteration,0.010175,0.03845
tier_2,3,residual,code_switching,0.03255,0.084225
tier_2,3,residual,standard_translation,-0.009275000000000002,0.0715
tier_2,3,residual,transliteration,0.076925,0.071625
tier_2,4,attn_out,code_switching,-0.013075,0.020149999999999998
tier_2,4,attn_out,standard_translation,-0.008825,0.021275000000000002
tier_2,4,attn_out,transliteration,0.005325,0.031775
tier_2,4,mlp_out,code_switching,0.002875,0.036425
tier_2,4,mlp_out,standard_translation,-0.027,0.0257
tier_2,4,mlp_out,transliteration,0.01445,0.03585
