language,layer,silhouette_score
sw,15,0.7397701415578245
sw,16,0.7453975707609866
sw,17,0.7437585983478442
sw,18,0.7346404809568612
sw,19,0.7066979656551672
sw,20,0.6961254390670605
sw,21,0.5849952455482383
yo,10,0.6799456646211386
yo,11,0.6948294830696052
yo,12,0.6989212726325332
yo,13,0.7157050905218284
yo,14,0.6828512905309605
yo,15,0.6060150805845518
yo,16,0.6881169145890319
yo,17,0.5847188289225183
yo,18,0.5896817098676016
yo,19,0.5870917034410789
yo,20,0.5714446041298596
yo,21,0.569198254765844
zu,10,0.7449772935798928
zu,11,0.7514268318053171
zu,12,0.7506190881228783
zu,13,0.7479031674819794
zu,14,0.7488078120859001
zu,15,0.7312732092174358
zu,16,0.7144166207773887
zu,17,0.7142313014067655
zu,18,0.69068426538117
zu,19,0.6863041375647917
zu,20,0.7077240655128115
zu,21,0.7086978393146816
gd,10,0.7552583410817726
gd,11,0.7786837621045913
gd,12,0.7677125509901117
gd,13,0.7704283984363505
gd,14,0.7221527955756527
gd,15,0.7281731325309085
gd,16,0.7527580108432211
gd,17,0.7433965043582716
gd,18,0.7531824443672477
gd,19,0.7545321652488525
gd,20,0.7364998724384128
gd,21,0.7256472161738369
gn,10,0.009075852430242474
gn,11,0.009227042346525011
gn,12,0.009536674501160391
gn,13,0.009667227478066016
gn,14,0.009525607646905585
gn,15,0.009813707173418158
gn,16,0.01100119577452781
gn,17,0.011968193311064253
gn,18,0.013912100640850808
gn,19,0.014794538589219234
gn,20,0.01444633919277366
gn,21,0.014008482149820228
