tier,layer,component,perturbation,mean_delta,std_delta
tier_1,14,residual,transliteration,0.32375,0.85585
tier_1,15,attn_out,code_switching,0.003825000000000001,0.055874999999999994
tier_1,15,attn_out,standard_translation,-0.09665,0.1098
tier_1,15,attn_out,transliteration,-0.07087500000000001,0.127175
tier_1,15,mlp_out,code_switching,0.0565,0.129975
tier_1,15,mlp_out,standard_translation,0.008375000000000007,0.22455
tier_1,15,mlp_out,transliteration,0.11702499999999999,0.225
tier_1,15,residual,code_switching,0.1525,0.399
tier_1,15,residual,standard_translation,-0.27342500000000003,0.253925
tier_1,15,residual,transliteration,0.37945,0.8328
tier_1,16,attn_out,code_switching,-0.023399999999999997,0.0426
tier_1,16,attn_out,standard_translation,-0.07715,0.0916
tier_1,16,attn_out,transliteration,0.0010999999999999968,0.064475
tier_1,16,mlp_out,code_switching,-0.01925,0.11255
tier_1,16,mlp_out,standard_translation,0.062325000000000005,0.28354999999999997
tier_1,16,mlp_out,transliteration,0.0109,0.191875
tier_1,16,residual,code_switching,0.12090000000000001,0.391075
tier_1,16,residual,standard_translation,-0.2458,0.268425
tier_1,16,residual,transliteration,0.3312,0.8224
tier_1,17,attn_out,code_switching,0.01765,0.046
tier_1,17,attn_out,standard_translation,-0.057575,0.0896
tier_1,17,attn_out,transliteration,0.02175,0.0925
tier_1,17,mlp_out,code_switching,0.069625,0.11477499999999999
tier_1,17,mlp_out,standard_translation,0.10150000000000002,0.40742500000000004
tier_1,17,mlp_out,transliteration,0.06065,0.246075
tier_1,17,residual,code_switching,0.12100000000000001,0.400125
tier_1,17,residual,standard_translation,-0.406725,0.2932
tier_1,17,residual,transliteration,0.19055,0.808175
tier_1,18,attn_out,code_switching,-0.0157,0.03805
tier_1,18,attn_out,standard_translation,0.009874999999999998,0.07165
tier_1,18,attn_out,transliteration,-0.026075,0.129575
tier_1,18,mlp_out,code_switching,0.048525,0.09875
tier_1,18,mlp_out,standard_translation,-0.016975,0.11705
tier_1,18,mlp_out,transliteration,0.04265,0.09405
tier_1,18,residual,code_switching,0.0436,0.287425
tier_1,18,residual,standard_translation,-0.2163,0.2234
tier_1,18,residual,transliteration,0.2424,0.415775
tier_1,19,attn_out,code_switching,0.004775,0.03985
tier_1,19,attn_out,standard_translation,0.01645,0.048225
tier_1,19,attn_out,transliteration,0.031375,0.0592
tier_1,19,mlp_out,code_switching,0.008475,0.064525
tier_1,19,mlp_out,standard_translation,0.007049999999999999,0.10105
tier_1,19,mlp_out,transliteration,0.033049999999999996,0.14405
tier_1,19,residual,code_switching,-0.003874999999999999,0.22235
tier_1,19,residual,standard_translation,-0.214625,0.24819999999999998
tier_1,19,residual,transliteration,0.10467499999999999,0.31405000000000005
tier_1,20,attn_out,code_switching,0.015975,0.0206
tier_1,20,attn_out,standard_translation,-0.04375,0.039775
tier_1,20,attn_out,transliteration,0.0076749999999999995,0.019674999999999998
tier_1,20,mlp_out,code_switching,-0.06307499999999999,0.062025
tier_1,20,mlp_out,standard_translation,0.02775,0.0787
tier_1,20,mlp_out,transliteration,0.034525,0.060399999999999995
tier_1,20,residual,code_switching,-0.026025,0.1826
tier_1,20,residual,standard_translation,-0.14705,0.165225
tier_1,20,residual,transliteration,0.020700000000000003,0.27835
tier_1,21,attn_out,code_switching,0.0191,0.0401
tier_1,21,attn_out,standard_translation,0.0133,0.0346
tier_1,21,attn_out,transliteration,-0.009925,0.02575
tier_1,21,mlp_out,code_switching,0.007975,0.030075
tier_1,21,mlp_out,standard_translation,-0.02485,0.060875
tier_1,21,mlp_out,transliteration,0.004125,0.058675
tier_1,21,residual,code_switching,-0.020200000000000003,0.138575
tier_1,21,residual,standard_translation,-0.10805,0.1402
tier_1,21,residual,transliteration,-0.063375,0.207975
tier_1,22,attn_out,code_switching,-0.0008750000000000003,0.014625
tier_1,22,attn_out,standard_translation,0.009975,0.018775
tier_1,22,attn_out,transliteration,-0.00055,0.016524999999999998
tier_1,22,mlp_out,code_switching,0.032875,0.039224999999999996
tier_1,22,mlp_out,standard_translation,-0.00605,0.04105
tier_1,22,mlp_out,transliteration,-0.019225,0.032775
tier_1,22,residual,code_switching,0.03005,0.08499999999999999
tier_1,22,residual,standard_translation,-0.03295,0.09745000000000001
tier_1,22,residual,transliteration,-0.157175,0.179675
tier_1,23,attn_out,code_switching,0.0026,0.0155
tier_1,23,attn_out,standard_translation,-0.014775,0.016875
tier_1,23,attn_out,transliteration,-0.013575,0.0124
tier_1,23,mlp_out,code_switching,0.007925,0.059225
tier_1,23,mlp_out,standard_translation,-0.024274999999999998,0.0338
tier_1,23,mlp_out,transliteration,-0.026775,0.0209
tier_1,23,residual,code_switching,0.018300000000000004,0.0875
tier_1,23,residual,standard_translation,-0.022175,0.096475
tier_1,23,residual,transliteration,-0.11515,0.126575
tier_1,24,attn_out,code_switching,0.0043749999999999995,0.011300000000000001
tier_1,24,attn_out,standard_translation,-0.009899999999999999,0.0085
tier_1,24,attn_out,transliteration,-0.00625,0.010475
tier_1,24,mlp_out,code_switching,0.0115,0.020925
tier_1,24,mlp_out,standard_translation,-0.022425,0.024225
tier_1,24,mlp_out,transliteration,-0.032350000000000004,0.01855
tier_1,24,residual,code_switching,0.03335,0.067475
tier_1,24,residual,standard_translation,-0.0020499999999999997,0.088975
tier_1,24,residual,transliteration,-0.1014,0.0887
tier_1,25,attn_out,code_switching,0.0039,0.007
tier_1,25,attn_out,standard_translation,-0.0007249999999999997,0.016425000000000002
tier_1,25,attn_out,transliteration,0.011575,0.009875
tier_1,25,mlp_out,code_switching,0.0143,0.0236
tier_1,25,mlp_out,standard_translation,0.0148,0.0287
tier_1,25,mlp_out,transliteration,-0.014,0.020375
tier_1,25,residual,code_switching,0.013049999999999999,0.068225
tier_1,25,residual,standard_translation,-0.0303,0.051975
tier_1,25,residual,transliteration,-0.0791,0.07905
tier_1,26,attn_out,code_switching,-0.00014999999999999996,0.007325
tier_1,26,attn_out,standard_translation,-0.0142,0.0072
tier_1,26,attn_out,transliteration,-0.014374999999999999,0.010325
tier_1,26,mlp_out,code_switching,0.009850000000000001,0.016325
tier_1,26,mlp_out,standard_translation,0.026875,0.011574999999999998
tier_1,26,mlp_out,transliteration,-0.00515,0.0178
tier_1,26,residual,code_switching,-0.02365,0.041749999999999995
tier_1,26,residual,standard_translation,-0.042675,0.055275000000000005
tier_1,26,residual,transliteration,-0.044899999999999995,0.039225
tier_1,27,attn_out,code_switching,0.0,0.0
tier_1,27,attn_out,standard_translation,0.0,0.0
tier_1,27,attn_out,transliteration,0.0,0.0
tier_1,27,mlp_out,code_switching,0.0,0.0
tier_1,27,mlp_out,standard_translation,0.0,0.0
tier_1,27,mlp_out,transliteration,0.0,0.0
tier_1,27,residual,code_switching,0.0,0.0
tier_1,27,residual,standard_translation,0.0,0.0
tier_1,27,residual,transliteration,0.0,0.0
tier_2,0,attn_out,code_switching,0.369525,0.649475
tier_2,0,attn_out,standard_translation,-0.873275,0.497425
tier_2,0,attn_out,transliteration,-0.685875,0.5273
tier_2,0,mlp_out,code_switching,0.15537499999999999,0.712575
tier_2,0,mlp_out,standard_translation,-0.6281,0.5226000000000001
tier_2,0,mlp_out,transliteration,-0.10584999999999997,0.296325
tier_2,0,residual,code_switching,0.3716,0.6381
tier_2,0,residual,standard_translation,-0.8745,0.499075
tier_2,0,residual,transliteration,-0.642825,0.5060250000000001
tier_2,1,attn_out,code_switching,-0.0020249999999999956,0.21860000000000002
tier_2,1,attn_out,standard_translation,0.025375,0.1008
tier_2,1,attn_out,transliteration,0.049225000000000005,0.172175
tier_2,1,mlp_out,code_switching,-0.0012750000000000053,0.251975
tier_2,1,mlp_out,standard_translation,0.047424999999999995,0.122025
tier_2,1,mlp_out,transliteration,0.015300000000000001,0.16570000000000001
tier_2,1,residual,code_switching,0.418975,0.6826749999999999
tier_2,1,residual,standard_translation,-0.65455,0.46115
tier_2,1,residual,transliteration,-0.45030000000000003,0.572425
tier_2,2,attn_out,code_switching,-0.1017,0.280475
tier_2,2,attn_out,standard_translation,0.043975,0.179825
tier_2,2,attn_out,transliteration,0.012124999999999997,0.1367
tier_2,2,mlp_out,code_switching,0.030849999999999995,0.293575
tier_2,2,mlp_out,standard_translation,0.0328,0.255025
tier_2,2,mlp_out,transliteration,-0.09662499999999999,0.34225
tier_2,2,residual,code_switching,0.27755,0.65705
tier_2,2,residual,standard_translation,-0.573275,0.45155
tier_2,2,residual,transliteration,-0.383775,0.48097500000000004
tier_2,3,attn_out,code_switching,0.050275,0.181225
tier_2,3,attn_out,standard_translation,0.03717499999999999,0.144175
tier_2,3,attn_out,transliteration,0.06385,0.116175
tier_2,3,mlp_out,code_switching,-0.025525000000000003,0.18905
tier_2,3,mlp_out,standard_translation,0.013624999999999998,0.186075
tier_2,3,mlp_out,transliteration,0.031725,0.173075
tier_2,3,residual,code_switching,0.32845,0.722175
tier_2,3,residual,standard_translation,-0.43965,0.438775
tier_2,3,residual,transliteration,-0.4727999999999999,0.488375
tier_2,4,attn_out,code_switching,-0.071425,0.173675
tier_2,4,attn_out,standard_translation,0.032825,0.151375
tier_2,4,attn_out,transliteration,-0.0006000000000000033,0.102525
tier_2,4,mlp_out,code_switching,-0.038975,0.30662500000000004
tier_2,4,mlp_out,standard_translation,0.032325,0.210775
tier_2,4,mlp_out,transliteration,0.060775,0.179375
tier_2,4,residual,code_switching,0.320225,0.714225
tier_2,4,residual,standard_translation,-0.3561,0.4816
tier_2,4,residual,transliteration,-0.456375,0.48505
tier_2,5,attn_out,code_switching,-0.04665,0.12332499999999999
tier_2,5,attn_out,standard_translation,-0.04732499999999999,0.1311
tier_2,5,attn_out,transliteration,-0.026475,0.140425
tier_2,5,mlp_out,code_switching,-0.1243,0.286425
tier_2,5,mlp_out,standard_translation,0.024575,0.24512499999999998
tier_2,5,mlp_out,transliteration,0.027725,0.341625
tier_2,5,residual,code_switching,0.355675,0.696375
tier_2,5,residual,standard_translation,-0.218225,0.4895
tier_2,5,residual,transliteration,-0.41185,0.53915
tier_2,6,attn_out,code_switching,0.0938,0.245725
tier_2,6,attn_out,standard_translation,0.071225,0.19172499999999998
tier_2,6,attn_out,transliteration,-0.014100000000000003,0.169125
tier_2,6,mlp_out,code_switching,0.338625,0.35275
tier_2,6,mlp_out,standard_translation,0.0040000000000000105,0.25205
tier_2,6,mlp_out,transliteration,0.049300000000000004,0.25644999999999996
tier_2,6,residual,code_switching,0.5274,0.738625
tier_2,6,residual,standard_translation,-0.258325,0.447525
tier_2,6,residual,transliteration,-0.339725,0.547775
tier_2,7,attn_out,code_switching,-0.052375000000000005,0.19095
tier_2,7,attn_out,standard_translation,0.07279999999999999,0.29352500000000004
tier_2,7,attn_out,transliteration,0.064475,0.19795000000000001
tier_2,7,mlp_out,code_switching,0.0689,0.159125
tier_2,7,mlp_out,standard_translation,-0.00945,0.27847500000000003
