tier,layer,component,perturbation,mean_restoration,std_restoration
tier_1,25,attn_out,code_switching,-0.00037499999999999995,0.0031
tier_1,25,attn_out,standard_translation,-0.001375,0.00255
tier_1,25,attn_out,transliteration,0.001975,0.010974999999999999
tier_1,25,mlp_out,code_switching,-0.033249999999999995,0.09419999999999999
tier_1,25,mlp_out,standard_translation,-0.00195,0.005125
tier_1,25,mlp_out,transliteration,0.00039999999999999996,0.004875
tier_1,25,residual,code_switching,-0.038725,0.13385
tier_1,25,residual,standard_translation,0.009725,0.01955
tier_1,25,residual,transliteration,-0.013725,0.05752500000000001
tier_1,26,attn_out,code_switching,-0.00755,0.01555
tier_1,26,attn_out,standard_translation,0.003275,0.003075
tier_1,26,attn_out,transliteration,-0.007725000000000001,0.015000000000000001
tier_1,26,mlp_out,code_switching,0.0009250000000000004,0.01055
tier_1,26,mlp_out,standard_translation,-0.00605,0.004425
tier_1,26,mlp_out,transliteration,-0.00315,0.008425
tier_1,26,residual,code_switching,-0.0006750000000000003,0.05955
tier_1,26,residual,standard_translation,0.0109,0.0208
tier_1,26,residual,transliteration,-0.0149,0.040400000000000005
tier_1,27,attn_out,code_switching,0.0,0.0
tier_1,27,attn_out,standard_translation,0.0,0.0
tier_1,27,attn_out,transliteration,0.0,0.0
tier_1,27,mlp_out,code_switching,0.0,0.0
tier_1,27,mlp_out,standard_translation,0.0,0.0
tier_1,27,mlp_out,transliteration,0.0,0.0
tier_1,27,residual,code_switching,0.0,0.0
tier_1,27,residual,standard_translation,0.0,0.0
tier_1,27,residual,transliteration,0.0,0.0
tier_2,0,attn_out,code_switching,0.141425,0.311525
tier_2,0,attn_out,standard_translation,-0.3544,0.62065
tier_2,0,attn_out,transliteration,0.101475,0.0728
tier_2,0,mlp_out,code_switching,0.087625,0.3209
tier_2,0,mlp_out,standard_translation,-0.14865,0.535825
tier_2,0,mlp_out,transliteration,0.03455,0.04625
tier_2,0,residual,code_switching,0.141475,0.304225
tier_2,0,residual,standard_translation,-0.3521,0.6294
tier_2,0,residual,transliteration,0.09605,0.0682
tier_2,1,attn_out,code_switching,0.017825,0.076225
tier_2,1,attn_out,standard_translation,0.01575,0.04285
tier_2,1,attn_out,transliteration,-0.006175,0.020175000000000002
tier_2,1,mlp_out,code_switching,0.012450000000000001,0.071525
tier_2,1,mlp_out,standard_translation,0.025224999999999997,0.07145
tier_2,1,mlp_out,transliteration,-0.002725,0.01965
tier_2,1,residual,code_switching,0.17515,0.331625
tier_2,1,residual,standard_translation,-0.212875,0.531725
tier_2,1,residual,transliteration,0.070425,0.079175
tier_2,2,attn_out,code_switching,-0.024675,0.0766
tier_2,2,attn_out,standard_translation,0.009425,0.066225
tier_2,2,attn_out,transliteration,0.0018000000000000004,0.01565
tier_2,2,mlp_out,code_switching,0.038425,0.146275
tier_2,2,mlp_out,standard_translation,0.086675,0.1406
tier_2,2,mlp_out,transliteration,0.03515,0.059274999999999994
tier_2,2,residual,code_switching,0.133525,0.303625
tier_2,2,residual,standard_translation,-0.1379,0.506875
tier_2,2,residual,transliteration,0.059899999999999995,0.071125
tier_2,3,attn_out,code_switching,0.007224999999999999,0.046375
tier_2,3,attn_out,standard_translation,0.05445,0.096475
tier_2,3,attn_out,transliteration,-0.0079,0.013725
tier_2,3,mlp_out,code_switching,0.004025,0.046425
tier_2,3,mlp_out,standard_translation,-0.011875,0.09865
tier_2,3,mlp_out,transliteration,0.00027500000000000007,0.023125
tier_2,3,residual,code_switching,0.16615,0.3611
tier_2,3,residual,standard_translation,-0.10467500000000002,0.430725
tier_2,3,residual,transliteration,0.065775,0.064125
tier_2,4,attn_out,code_switching,-0.02105,0.0462
tier_2,4,attn_out,standard_translation,0.028425,0.0815
tier_2,4,attn_out,transliteration,0.004375,0.016300000000000002
tier_2,4,mlp_out,code_switching,-0.02085,0.08125
tier_2,4,mlp_out,standard_translation,0.017225,0.073325
tier_2,4,mlp_out,transliteration,-0.008324999999999999,0.023975
tier_2,4,residual,code_switching,0.15792499999999998,0.3534
tier_2,4,residual,standard_translation,-0.09925,0.384175
tier_2,4,residual,transliteration,0.064825,0.06475
tier_2,5,attn_out,code_switching,-0.0118,0.024475
tier_2,5,attn_out,standard_translation,0.00012500000000000358,0.0824
tier_2,5,attn_out,transliteration,0.009325,0.023275
tier_2,5,mlp_out,code_switching,-0.043725,0.09225
tier_2,5,mlp_out,standard_translation,0.0162,0.17245
tier_2,5,mlp_out,transliteration,-0.012625,0.05425
tier_2,5,residual,code_switching,0.1699,0.361175
tier_2,5,residual,standard_translation,-0.073775,0.354325
tier_2,5,residual,transliteration,0.05417500000000001,0.065025
tier_2,6,attn_out,code_switching,0.010424999999999999,0.043675
tier_2,6,attn_out,standard_translation,-0.0393,0.11000000000000001
tier_2,6,attn_out,transliteration,-0.0030250000000000003,0.017750000000000002
tier_2,6,mlp_out,code_switching,0.114175,0.1511
tier_2,6,mlp_out,standard_translation,-0.012724999999999997,0.096375
tier_2,6,mlp_out,transliteration,-0.009024999999999998,0.028275
tier_2,6,residual,code_switching,0.20529999999999998,0.37020000000000003
tier_2,6,residual,standard_translation,-0.13040000000000002,0.292825
tier_2,6,residual,transliteration,0.04425,0.062725
tier_2,7,attn_out,code_switching,-0.0201,0.06675
tier_2,7,attn_out,standard_translation,0.020775000000000002,0.11587499999999999
tier_2,7,attn_out,transliteration,-0.006925,0.02505
tier_2,7,mlp_out,code_switching,0.036574999999999996,0.0769
tier_2,7,mlp_out,standard_translation,-0.009949999999999999,0.21325
tier_2,7,mlp_out,transliteration,-0.016525,0.026424999999999997
tier_2,7,residual,code_switching,0.188275,0.3402
tier_2,7,residual,standard_translation,-0.1488,0.326125
tier_2,7,residual,transliteration,0.04435,0.079425
tier_2,8,attn_out,code_switching,-0.0081,0.037575000000000004
tier_2,8,attn_out,standard_translation,-0.059475,0.14335
tier_2,8,attn_out,transliteration,-0.010775,0.03925
tier_2,8,mlp_out,code_switching,0.01805,0.061200000000000004
tier_2,8,mlp_out,standard_translation,-0.022025,0.16394999999999998
tier_2,8,mlp_out,transliteration,-0.01625,0.0322
tier_2,8,residual,code_switching,0.172325,0.31265
tier_2,8,residual,standard_translation,-0.19742500000000002,0.38755
tier_2,8,residual,transliteration,0.046474999999999995,0.075325
tier_2,9,attn_out,code_switching,-0.018000000000000002,0.0373
tier_2,9,attn_out,standard_translation,0.02625,0.11044999999999999
tier_2,9,attn_out,transliteration,-0.02205,0.021
tier_2,9,mlp_out,code_switching,0.01325,0.063025
tier_2,9,mlp_out,standard_translation,-0.03445,0.19845
tier_2,9,mlp_out,transliteration,-0.03105,0.051574999999999996
tier_2,9,residual,code_switching,0.135075,0.25945
tier_2,9,residual,standard_translation,-0.210725,0.409625
tier_2,9,residual,transliteration,0.054650000000000004,0.085825
tier_2,10,attn_out,code_switching,-0.017225,0.02315
tier_2,10,attn_out,standard_translation,-0.001225,0.100675
tier_2,10,attn_out,transliteration,0.007450000000000001,0.028675
tier_2,10,mlp_out,code_switching,-0.037599999999999995,0.07655
