layer,language,effective_rank,top_sv
21,ru,214,442.44989013671875
22,ru,213,596.7293701171875
23,ru,216,677.11767578125
24,ru,221,747.90283203125
25,ru,223,912.39404296875
26,ru,217,1416.605224609375
27,ru,220,1938.4378662109375
0,ko,121,15.846885681152344
1,ko,62,46.74072265625
2,ko,65,56.465606689453125
3,ko,62,70.60194396972656
4,ko,24,123.24746704101562
5,ko,32,127.98892974853516
6,ko,29,159.08424377441406
7,ko,114,200.02491760253906
8,ko,159,221.7344207763672
9,ko,204,212.0074920654297
10,ko,215,211.14508056640625
11,ko,223,225.72433471679688
12,ko,229,227.99301147460938
13,ko,231,222.4669647216797
14,ko,231,234.11634826660156
15,ko,232,232.44424438476562
16,ko,233,244.6569366455078
17,ko,234,253.8682861328125
18,ko,230,273.830322265625
19,ko,225,312.76947021484375
20,ko,223,402.8053283691406
21,ko,223,458.59033203125
22,ko,218,656.2344970703125
23,ko,222,744.0362548828125
24,ko,227,825.0372924804688
25,ko,227,975.9660034179688
26,ko,220,1489.9705810546875
27,ko,217,2005.43798828125
0,ja,112,17.10035514831543
1,ja,71,46.34050369262695
2,ja,78,54.631500244140625
3,ja,87,60.18914794921875
4,ja,37,115.91632080078125
5,ja,41,131.1951446533203
6,ja,48,163.642333984375
7,ja,159,177.98611450195312
8,ja,194,190.65573120117188
9,ja,208,182.39779663085938
10,ja,218,178.59109497070312
11,ja,227,181.05909729003906
12,ja,233,183.33209228515625
13,ja,235,200.1221160888672
14,ja,236,202.2364501953125
15,ja,236,208.96144104003906
16,ja,237,221.7051239013672
17,ja,237,245.77825927734375
18,ja,234,240.2421112060547
19,ja,229,281.51123046875
20,ja,228,321.1826477050781
21,ja,228,362.2496643066406
22,ja,227,429.01611328125
23,ja,231,483.04296875
24,ja,236,531.859375
25,ja,237,625.8552856445312
26,ja,236,854.145263671875
27,ja,237,1228.3548583984375
0,tr,106,19.95417022705078
1,tr,72,42.067378997802734
2,tr,70,52.596649169921875
3,tr,74,61.939449310302734
4,tr,28,123.0787124633789
5,tr,29,139.6996612548828
6,tr,26,196.05006408691406
7,tr,137,212.07098388671875
8,tr,180,230.79917907714844
9,tr,226,213.8271026611328
10,tr,233,214.48448181152344
11,tr,238,230.3343048095703
12,tr,242,232.29649353027344
13,tr,246,227.64096069335938
14,tr,246,234.9747314453125
15,tr,245,237.54183959960938
16,tr,245,247.6780548095703
17,tr,244,259.20550537109375
18,tr,240,283.99884033203125
19,tr,235,306.4443664550781
20,tr,233,379.34051513671875
21,tr,233,420.39947509765625
22,tr,230,554.7086181640625
23,tr,234,612.802490234375
24,tr,238,689.2031860351562
25,tr,238,841.6786499023438
26,tr,234,1333.553955078125
27,tr,234,1971.1263427734375
0,id,114,18.241222381591797
1,id,75,42.44782638549805
2,id,73,53.44026184082031
3,id,78,63.00680160522461
4,id,31,121.4517593383789
5,id,34,133.1303253173828
6,id,36,174.5755157470703
7,id,135,193.16058349609375
8,id,173,204.7273406982422
9,id,200,186.67198181152344
10,id,207,181.74008178710938
11,id,212,195.24790954589844
12,id,215,204.04071044921875
13,id,217,225.77076721191406
14,id,220,231.42123413085938
15,id,222,235.18846130371094
16,id,224,242.3551483154297
17,id,224,252.33782958984375
18,id,220,253.30560302734375
19,id,215,280.25439453125
20,id,215,311.7336120605469
21,id,216,363.3252868652344
22,id,215,457.73529052734375
23,id,217,563.34423828125
24,id,223,614.6112670898438
25,id,224,703.8690795898438
26,id,223,1002.9166259765625
27,id,222,1643.6279296875
0,hi,70,25.28823471069336
1,hi,34,56.73820495605469
2,hi,40,66.77725982666016
3,hi,53,76.10025024414062
4,hi,15,144.40838623046875
5,hi,11,176.16600036621094
6,hi,8,233.3875274658203
7,hi,41,318.6012268066406
8,hi,58,377.2712707519531
9,hi,92,378.5760192871094
10,hi,92,391.3204650878906
11,hi,89,443.29931640625
12,hi,87,471.31524658203125
13,hi,96,496.29248046875
14,hi,92,563.8751220703125
15,hi,91,613.1849975585938
16,hi,90,646.398193359375
17,hi,87,721.8809814453125
18,hi,84,789.1917724609375
19,hi,88,835.6669311523438
20,hi,85,1012.0842895507812
21,hi,90,1151.5848388671875
22,hi,90,1417.90576171875
23,hi,90,1649.521484375
24,hi,92,1853.6199951171875
25,hi,98,1972.2923583984375
26,hi,89,2797.573486328125
27,hi,89,4317.66162109375
0,sw,122,17.39155387878418
1,sw,73,46.38612747192383
2,sw,73,56.876991271972656
3,sw,76,67.74632263183594
4,sw,27,130.9654998779297
5,sw,27,142.99610900878906
6,sw,24,175.4235076904297
7,sw,49,226.35491943359375
8,sw,76,246.7534942626953
9,sw,130,256.811767578125
10,sw,142,264.5606384277344
11,sw,147,291.7290344238281
12,sw,151,306.03564453125
13,sw,177,317.4465637207031
14,sw,181,358.4376525878906
15,sw,183,367.136962890625
16,sw,186,387.8079833984375
17,sw,188,421.4089050292969
18,sw,187,461.9530944824219
19,sw,186,525.0440673828125
20,sw,180,674.9833374023438
21,sw,188,791.3427124023438
22,sw,185,1027.60986328125
23,sw,191,1129.922119140625
24,sw,195,1255.7108154296875
25,sw,196,1466.1805419921875
26,sw,186,2143.19677734375
27,sw,193,2672.439208984375
0,yo,88,26.900028228759766
1,yo,61,53.45442581176758
2,yo,64,65.05511474609375
3,yo,75,71.03963470458984
4,yo,30,138.3354034423828
5,yo,25,165.05953979492188
6,yo,23,204.60057067871094
7,yo,29,287.9811096191406
8,yo,35,341.6994323730469
9,yo,45,341.3033752441406
10,yo,43,347.3364562988281
11,yo,40,385.2069396972656
12,yo,39,413.49420166015625
13,yo,51,426.4367370605469
14,yo,46,490.9190368652344
15,yo,49,509.9223327636719
16,yo,49,534.1671142578125
17,yo,49,596.5543823242188
18,yo,52,652.4615478515625
19,yo,58,737.7379760742188
20,yo,54,931.721435546875
21,yo,65,1121.5003662109375
22,yo,64,1402.7420654296875
23,yo,66,1568.33642578125
24,yo,70,1692.434326171875
25,yo,74,1867.082763671875
