language,layer,angle_idx,angle_rad,angle_deg
ko,12,0,1.0169710932209515,58.26815152836593
ko,13,0,1.0541795725603325,60.40004035661217
ko,14,0,1.0683138971954025,61.209877504469475
ko,15,0,1.0343179614349078,59.26205386479526
ko,16,0,1.04289109002141,59.75325795002479
ko,17,0,1.0311256789295862,59.07914955022689
ko,18,0,1.0085293230833061,57.78447372785927
ja,9,0,0.92768938926622,53.15268670402334
ja,10,0,0.9319061015102237,53.39428651902589
ja,11,0,0.9284948696933834,53.1988373329802
ja,12,0,0.9723302206820515,55.7104179381055
ja,13,0,0.9542682837079348,54.67554517965732
ja,14,0,0.9521418073699547,54.55370706025663
ja,15,0,0.9290140212544887,53.22858252635916
ja,16,0,0.9580288587021115,54.89101025536608
ja,17,0,0.9730947157109705,55.75422027672129
ja,18,0,0.9704457171562657,55.602443839600454
tr,9,0,1.1113885853855214,63.6778753416053
tr,10,0,1.0875462447546012,62.31180984974029
tr,11,0,1.1438663012384291,65.53871138820205
tr,12,0,1.1409155232195494,65.36964426144026
tr,13,0,1.175911373733665,67.37475879636982
tr,14,0,1.1586661408004548,66.38667973257685
tr,15,0,1.161895003551113,66.57167994081658
tr,16,0,1.1692395147130614,66.99248943298294
tr,17,0,1.1426297577939584,65.4678626676493
tr,18,0,1.1477340661019353,65.76031799102994
id,9,0,0.8359889509279261,47.89863860773946
id,10,0,0.8353085713691916,47.85965573055699
id,11,0,0.8247041045000522,47.252064534968994
id,12,0,0.8494062775795893,48.66739479722815
id,13,0,0.8318816823895674,47.66330945516463
id,14,0,0.8515010159337292,48.78741446410454
id,15,0,0.8484652646553851,48.61347872820399
id,16,0,0.8799956186022133,50.4200349359109
id,17,0,0.8332030380923873,47.73901756017175
id,18,0,0.878186315681713,50.316369514705535
hi,9,0,1.405237994609477,80.51420630255056
hi,10,0,1.395036000184412,79.92967507937834
hi,11,0,1.4152799377467142,81.08956726242461
hi,12,0,1.4377942746117245,82.3795437433255
hi,13,0,1.4305377907375352,81.96377784322972
hi,14,0,1.4336842381288541,82.14405599921224
hi,15,0,1.4181923732470574,81.25643752469836
hi,16,0,1.4352848340618372,82.23576339087798
hi,17,0,1.4469142838297078,82.90208178063635
hi,18,0,1.4395486367393524,82.48006128897617
sw,9,0,1.5006155790899762,85.97893935343562
sw,10,0,1.531979602300073,87.77596551192453
sw,11,0,1.4962858389875258,85.73086351917668
sw,12,0,1.5008894449167929,85.99463070946508
sw,13,0,1.5129468933981332,86.6854716191423
sw,14,0,1.514978706935753,86.80188595960547
sw,15,0,1.5105463659925307,86.5479315301958
sw,16,0,1.5123551573210081,86.65156763933742
sw,17,0,1.505350497633391,86.25023020231151
sw,18,0,1.4930958382187185,85.54808993848053
yo,9,0,1.544766215585968,88.50858448747222
yo,10,0,1.54436551402817,88.48562597936608
yo,11,0,1.5650476649945657,89.67062594099296
yo,12,0,1.5454220592023549,88.54616155871179
yo,13,0,1.554615670118165,89.07291666267311
yo,14,0,1.5455849983142596,88.55549728214153
yo,15,0,1.5628464427001276,89.54450519375156
yo,16,0,1.5466062192127117,88.61400892957339
yo,17,0,1.553591055621052,89.01421057636061
yo,18,0,1.548742979019854,88.73643624835583
zu,9,0,1.5549235646430069,89.09055771948172
zu,10,0,1.5574341984885385,89.23440644273339
zu,11,0,1.5680055242262914,89.84009879136465
zu,12,0,1.5578528257592177,89.25839201853239
zu,13,0,1.5631672867383153,89.56288820302164
zu,14,0,1.5591721984828537,89.33398650720142
zu,15,0,1.5584094804874515,89.2902859851062
zu,16,0,1.5424562029648181,88.37623051365837
zu,17,0,1.541590239310785,88.32661445107055
zu,18,0,1.5423780031009087,88.37174999149786
gd,9,0,1.5296166504106317,87.64057834146708
gd,10,0,1.5077549116603532,86.38799297825851
gd,11,0,1.476236171540805,84.58210219383874
gd,12,0,1.515196548745354,86.81436737589709
gd,13,0,1.5247581434964195,87.36220640054759
gd,14,0,1.516639086670272,86.89701871078245
gd,15,0,1.5263494340792763,87.45338063492419
