language,layer,harm_component_norm,refusal_component_norm,t_inst_harm_signal,t_post_inst_refusal_signal,failure_type
zh,16,1.2127,0.0501,1.029,0.6504,mixed
zh,17,0.9094,0.0304,-0.1848,0.6504,mixed
zh,18,1.3721,0.0272,-0.0064,0.6504,mixed
zu,9,6.7329,0.132,-0.5233,-2.0879,downstream
zu,10,3.4863,0.0314,0.2845,-2.0879,downstream
zu,11,3.5101,0.0704,-0.3312,-2.0879,downstream
zu,12,3.54,0.1366,0.3245,-2.0879,downstream
zu,13,3.4316,0.0593,-0.5455,-2.0879,downstream
zu,14,1.2527,0.0056,-0.1194,-2.0879,downstream
zu,15,1.2536,0.0028,-0.4955,-2.0879,downstream
zu,16,1.2611,0.0109,-1.0032,-2.0879,downstream
zu,17,1.2562,0.0027,-0.5763,-2.0879,downstream
zu,18,3.4143,0.0288,-1.2984,-2.0879,downstream
