layer,component,language,tier,perturbation,mean_restoration,std_restoration,n_pairs_used,n_pairs_skipped
8,residual,zh,tier_1,standard_translation,3.3284,5.79,20,0
8,attn_out,zh,tier_1,standard_translation,0.1866,0.2798,20,0
8,mlp_out,zh,tier_1,standard_translation,-0.1298,0.2182,20,0
9,residual,zh,tier_1,standard_translation,2.8724,4.9059,20,0
9,attn_out,zh,tier_1,standard_translation,-0.0656,0.2022,20,0
9,mlp_out,zh,tier_1,standard_translation,-0.0839,0.3171,20,0
10,residual,zh,tier_1,standard_translation,3.1071,5.4728,20,0
10,attn_out,zh,tier_1,standard_translation,0.2173,0.572,20,0
10,mlp_out,zh,tier_1,standard_translation,-0.0718,0.454,20,0
11,residual,zh,tier_1,standard_translation,2.2454,3.827,20,0
11,attn_out,zh,tier_1,standard_translation,-0.3184,0.6233,20,0
11,mlp_out,zh,tier_1,standard_translation,-0.1851,0.6958,20,0
12,residual,zh,tier_1,standard_translation,1.5235,2.4778,20,0
12,attn_out,zh,tier_1,standard_translation,-0.0119,0.105,20,0
12,mlp_out,zh,tier_1,standard_translation,1.23,2.0755,20,0
13,residual,zh,tier_1,standard_translation,1.4639,2.334,20,0
13,attn_out,zh,tier_1,standard_translation,-0.2553,0.3727,20,0
13,mlp_out,zh,tier_1,standard_translation,1.4437,2.7093,20,0
14,residual,zh,tier_1,standard_translation,0.2921,0.2828,20,0
14,attn_out,zh,tier_1,standard_translation,-0.3857,0.7869,20,0
14,mlp_out,zh,tier_1,standard_translation,0.2365,0.4923,20,0
15,residual,zh,tier_1,standard_translation,-0.0329,0.3447,20,0
15,attn_out,zh,tier_1,standard_translation,-0.1446,0.338,20,0
15,mlp_out,zh,tier_1,standard_translation,-0.1016,0.1969,20,0
16,residual,zh,tier_1,standard_translation,-1.0382,2.3254,20,0
16,attn_out,zh,tier_1,standard_translation,0.0876,0.2093,20,0
16,mlp_out,zh,tier_1,standard_translation,-0.3517,0.7969,20,0
17,residual,zh,tier_1,standard_translation,-0.6159,1.5024,20,0
17,attn_out,zh,tier_1,standard_translation,0.1733,0.3123,20,0
17,mlp_out,zh,tier_1,standard_translation,0.6694,1.3093,20,0
18,residual,zh,tier_1,standard_translation,-0.4611,1.1859,20,0
18,attn_out,zh,tier_1,standard_translation,-0.0468,0.1134,20,0
18,mlp_out,zh,tier_1,standard_translation,0.2315,0.4188,20,0
19,residual,zh,tier_1,standard_translation,-0.575,1.3713,20,0
19,attn_out,zh,tier_1,standard_translation,-0.0382,0.0747,20,0
19,mlp_out,zh,tier_1,standard_translation,0.4556,0.7983,20,0
20,residual,zh,tier_1,standard_translation,-0.7161,1.6222,20,0
20,attn_out,zh,tier_1,standard_translation,0.042,0.0732,20,0
20,mlp_out,zh,tier_1,standard_translation,0.6377,1.2274,20,0
21,residual,zh,tier_1,standard_translation,-0.8951,1.8898,20,0
21,attn_out,zh,tier_1,standard_translation,0.0893,0.165,20,0
21,mlp_out,zh,tier_1,standard_translation,-0.1223,0.255,20,0
22,residual,zh,tier_1,standard_translation,-1.0441,2.1543,20,0
22,attn_out,zh,tier_1,standard_translation,-0.0197,0.0357,20,0
22,mlp_out,zh,tier_1,standard_translation,0.1118,0.2458,20,0
23,residual,zh,tier_1,standard_translation,-1.2582,2.5809,20,0
23,attn_out,zh,tier_1,standard_translation,0.3977,0.8023,20,0
23,mlp_out,zh,tier_1,standard_translation,0.1657,0.3347,20,0
24,residual,zh,tier_1,standard_translation,-1.1763,2.3582,20,0
24,attn_out,zh,tier_1,standard_translation,-0.1006,0.2124,20,0
24,mlp_out,zh,tier_1,standard_translation,0.1004,0.2073,20,0
25,residual,zh,tier_1,standard_translation,-1.1737,2.3535,20,0
25,attn_out,zh,tier_1,standard_translation,-0.0288,0.0673,20,0
25,mlp_out,zh,tier_1,standard_translation,-0.6567,1.3609,20,0
26,residual,zh,tier_1,standard_translation,-1.2506,2.4897,20,0
26,attn_out,zh,tier_1,standard_translation,-0.0485,0.0997,20,0
26,mlp_out,zh,tier_1,standard_translation,-0.3099,0.6202,20,0
27,residual,zh,tier_1,standard_translation,-1.189,2.3637,20,0
27,attn_out,zh,tier_1,standard_translation,0.0022,0.0049,20,0
27,mlp_out,zh,tier_1,standard_translation,0.1588,0.3474,20,0
28,residual,zh,tier_1,standard_translation,-0.6149,1.2243,20,0
28,attn_out,zh,tier_1,standard_translation,0.1736,0.3493,20,0
28,mlp_out,zh,tier_1,standard_translation,-0.2984,0.5939,20,0
29,residual,zh,tier_1,standard_translation,-0.6466,1.2716,20,0
29,attn_out,zh,tier_1,standard_translation,0.2242,0.4347,20,0
29,mlp_out,zh,tier_1,standard_translation,-0.1405,0.2772,20,0
30,residual,zh,tier_1,standard_translation,-0.4821,0.949,20,0
30,attn_out,zh,tier_1,standard_translation,0.0204,0.0372,20,0
30,mlp_out,zh,tier_1,standard_translation,-0.1796,0.3567,20,0
31,residual,zh,tier_1,standard_translation,0.0,0.0,20,0
31,attn_out,zh,tier_1,standard_translation,0.0,0.0,20,0
31,mlp_out,zh,tier_1,standard_translation,0.0,0.0,20,0
0,residual,es,tier_1,standard_translation,0.1319,0.1466,20,0
0,attn_out,es,tier_1,standard_translation,0.0795,0.115,20,0
0,mlp_out,es,tier_1,standard_translation,0.0981,0.1575,20,0
1,residual,es,tier_1,standard_translation,0.1027,0.084,20,0
1,attn_out,es,tier_1,standard_translation,-0.0539,0.0619,20,0
1,mlp_out,es,tier_1,standard_translation,0.0197,0.0544,20,0
2,residual,es,tier_1,standard_translation,0.0725,0.0956,20,0
2,attn_out,es,tier_1,standard_translation,0.0199,0.0362,20,0
2,mlp_out,es,tier_1,standard_translation,-0.0116,0.0334,20,0
3,residual,es,tier_1,standard_translation,0.0846,0.0853,20,0
3,attn_out,es,tier_1,standard_translation,0.0036,0.0276,20,0
3,mlp_out,es,tier_1,standard_translation,-0.0051,0.0525,20,0
4,residual,es,tier_1,standard_translation,0.0792,0.0797,20,0
4,attn_out,es,tier_1,standard_translation,-0.0309,0.0166,20,0
4,mlp_out,es,tier_1,standard_translation,-0.0099,0.0771,20,0
5,residual,es,tier_1,standard_translation,0.1205,0.065,20,0
5,attn_out,es,tier_1,standard_translation,0.0859,0.0612,20,0
5,mlp_out,es,tier_1,standard_translation,0.0083,0.017,20,0
6,residual,es,tier_1,standard_translation,0.1379,0.0519,20,0
6,attn_out,es,tier_1,standard_translation,0.0239,0.0428,20,0
6,mlp_out,es,tier_1,standard_translation,0.0167,0.0579,20,0
7,residual,es,tier_1,standard_translation,0.0991,0.0619,20,0
7,attn_out,es,tier_1,standard_translation,0.1237,0.0999,20,0
7,mlp_out,es,tier_1,standard_translation,0.0004,0.0424,20,0
8,residual,es,tier_1,standard_translation,0.11,0.0699,20,0
8,attn_out,es,tier_1,standard_translation,-0.0071,0.0208,20,0
8,mlp_out,es,tier_1,standard_translation,0.0481,0.0352,20,0
9,residual,es,tier_1,standard_translation,0.0933,0.0604,20,0
9,attn_out,es,tier_1,standard_translation,0.0754,0.0403,20,0
9,mlp_out,es,tier_1,standard_translation,0.0085,0.0708,20,0
10,residual,es,tier_1,standard_translation,0.0834,0.0595,20,0
