tier,layer,component,perturbation,mean_delta,std_delta
tier_1,20,mlp_out,code_switching,-0.0002249999999999995,0.026625
tier_1,20,mlp_out,standard_translation,-0.01185,0.04445
tier_1,20,mlp_out,transliteration,-0.009824999999999999,0.04775
tier_1,20,residual,code_switching,-0.014574999999999994,0.15285
tier_1,20,residual,standard_translation,0.052575000000000004,0.160975
tier_1,20,residual,transliteration,0.0025000000000000005,0.10675
tier_1,21,attn_out,code_switching,-0.006575,0.007325
tier_1,21,attn_out,standard_translation,0.010775,0.0195
tier_1,21,attn_out,transliteration,0.004475,0.034025
tier_1,21,mlp_out,code_switching,0.0040750000000000005,0.02045
tier_1,21,mlp_out,standard_translation,-0.0086,0.034199999999999994
tier_1,21,mlp_out,transliteration,-0.020575,0.06385
tier_1,21,residual,code_switching,-0.018199999999999997,0.14882499999999999
tier_1,21,residual,standard_translation,0.07185,0.149625
tier_1,21,residual,transliteration,0.005775000000000001,0.098775
tier_1,22,attn_out,code_switching,0.0007999999999999999,0.00555
tier_1,22,attn_out,standard_translation,0.002375,0.0069
tier_1,22,attn_out,transliteration,0.0167,0.00945
tier_1,22,mlp_out,code_switching,0.0004249999999999996,0.029824999999999997
tier_1,22,mlp_out,standard_translation,-0.010525,0.039525000000000005
tier_1,22,mlp_out,transliteration,-0.03735,0.045274999999999996
tier_1,22,residual,code_switching,-0.008275000000000003,0.14535
tier_1,22,residual,standard_translation,0.082475,0.156275
tier_1,22,residual,transliteration,0.012899999999999998,0.10932499999999999
tier_1,23,attn_out,code_switching,-0.0002000000000000001,0.0063
tier_1,23,attn_out,standard_translation,0.004375,0.0167
tier_1,23,attn_out,transliteration,0.0075250000000000004,0.026175
tier_1,23,mlp_out,code_switching,0.0010249999999999999,0.023
tier_1,23,mlp_out,standard_translation,-0.02995,0.03125
tier_1,23,mlp_out,transliteration,-0.019524999999999997,0.040925
tier_1,23,residual,code_switching,-0.0111,0.141975
tier_1,23,residual,standard_translation,0.093275,0.124125
tier_1,23,residual,transliteration,0.026650000000000004,0.1235
tier_1,24,attn_out,code_switching,-0.0026249999999999997,0.0069500000000000004
tier_1,24,attn_out,standard_translation,0.0015000000000000002,0.019375
tier_1,24,attn_out,transliteration,0.0225,0.03795
tier_1,24,mlp_out,code_switching,-0.0019500000000000003,0.014375
tier_1,24,mlp_out,standard_translation,0.013025,0.03425
tier_1,24,mlp_out,transliteration,-0.0142,0.039225
tier_1,24,residual,code_switching,0.032375,0.12125
tier_1,24,residual,standard_translation,0.07495,0.114175
tier_1,24,residual,transliteration,0.026174999999999997,0.11265
tier_1,25,attn_out,code_switching,-0.0028250000000000003,0.0073
tier_1,25,attn_out,standard_translation,0.002675,0.0107
tier_1,25,attn_out,transliteration,0.0168,0.030925
tier_1,25,mlp_out,code_switching,0.004175,0.013375000000000001
tier_1,25,mlp_out,standard_translation,0.028325,0.050225
tier_1,25,mlp_out,transliteration,-0.011099999999999999,0.043675
tier_1,25,residual,code_switching,0.042275,0.11929999999999999
tier_1,25,residual,standard_translation,0.07944999999999999,0.10815
tier_1,25,residual,transliteration,0.031425,0.1148
tier_1,26,attn_out,code_switching,0.006775,0.0071
tier_1,26,attn_out,standard_translation,0.003975,0.013025
tier_1,26,attn_out,transliteration,0.005300000000000001,0.020649999999999998
tier_1,26,mlp_out,code_switching,-0.00215,0.026625
tier_1,26,mlp_out,standard_translation,0.030524999999999997,0.0386
tier_1,26,mlp_out,transliteration,0.01655,0.050800000000000005
tier_1,26,residual,code_switching,0.045475,0.116525
tier_1,26,residual,standard_translation,0.084875,0.11247499999999999
tier_1,26,residual,transliteration,0.021224999999999997,0.10935
tier_1,27,attn_out,code_switching,0.0009,0.003
tier_1,27,attn_out,standard_translation,2.5000000000000066e-05,0.00975
tier_1,27,attn_out,transliteration,0.01605,0.02705
tier_1,27,mlp_out,code_switching,-0.0077,0.013325
tier_1,27,mlp_out,standard_translation,0.010675,0.034075
tier_1,27,mlp_out,transliteration,0.014824999999999998,0.04845
tier_1,27,residual,code_switching,-0.009575000000000002,0.03665
tier_1,27,residual,standard_translation,0.073725,0.09875
tier_1,27,residual,transliteration,0.017499999999999998,0.107675
tier_1,28,attn_out,code_switching,0.00019999999999999993,0.0035
tier_1,28,attn_out,standard_translation,-0.004125,0.01515
tier_1,28,attn_out,transliteration,0.0007750000000000005,0.02455
tier_1,28,mlp_out,code_switching,0.00175,0.008475
tier_1,28,mlp_out,standard_translation,0.022324999999999998,0.018925
tier_1,28,mlp_out,transliteration,0.0225,0.055900000000000005
tier_1,28,residual,code_switching,-0.009475,0.02445
tier_1,28,residual,standard_translation,0.041725,0.056425
tier_1,28,residual,transliteration,0.018325,0.09357499999999999
tier_1,29,attn_out,code_switching,-0.001925,0.002
tier_1,29,attn_out,standard_translation,-0.012625,0.018175
tier_1,29,attn_out,transliteration,-0.0040999999999999995,0.022949999999999998
tier_1,29,mlp_out,code_switching,-0.0043,0.00785
tier_1,29,mlp_out,standard_translation,0.0246,0.028725
tier_1,29,mlp_out,transliteration,-0.032925,0.055975
tier_1,29,residual,code_switching,-0.0173,0.01765
tier_1,29,residual,standard_translation,0.034725,0.049049999999999996
tier_1,29,residual,transliteration,0.020275,0.0736
tier_1,30,attn_out,code_switching,0.000525,0.001575
tier_1,30,attn_out,standard_translation,0.006125,0.007175
tier_1,30,attn_out,transliteration,-0.005725,0.011775
tier_1,30,mlp_out,code_switching,0.0019,0.004775
tier_1,30,mlp_out,standard_translation,0.006075,0.020425
tier_1,30,mlp_out,transliteration,0.005075,0.043625
tier_1,30,residual,code_switching,-0.016050000000000002,0.0189
tier_1,30,residual,standard_translation,0.00665,0.0341
tier_1,30,residual,transliteration,0.030674999999999997,0.062349999999999996
tier_1,31,attn_out,code_switching,0.0,0.0
tier_1,31,attn_out,standard_translation,0.0,0.0
tier_1,31,attn_out,transliteration,0.0,0.0
tier_1,31,mlp_out,code_switching,0.0,0.0
tier_1,31,mlp_out,standard_translation,0.0,0.0
tier_1,31,mlp_out,transliteration,0.0,0.0
tier_1,31,residual,code_switching,0.0,0.0
tier_1,31,residual,standard_translation,0.0,0.0
tier_1,31,residual,transliteration,0.0,0.0
tier_2,0,attn_out,code_switching,-0.06474999999999999,0.738875
tier_2,0,attn_out,standard_translation,-0.004924999999999992,0.199375
tier_2,0,attn_out,transliteration,-0.009850000000000001,0.164775
tier_2,0,mlp_out,code_switching,-0.191375,0.5706
tier_2,0,mlp_out,standard_translation,0.17385,0.58945
tier_2,0,mlp_out,transliteration,-0.34019999999999995,0.6795749999999999
tier_2,0,residual,code_switching,-0.48955,0.6456500000000001
tier_2,0,residual,standard_translation,0.10340000000000002,0.617225
tier_2,0,residual,transliteration,-0.27787500000000004,0.8067
tier_2,1,attn_out,code_switching,0.057325,0.2538
tier_2,1,attn_out,standard_translation,-0.018275,0.18462499999999998
tier_2,1,attn_out,transliteration,0.094225,0.20415
tier_2,1,mlp_out,code_switching,-0.338775,0.49455
tier_2,1,mlp_out,standard_translation,0.005350000000000001,0.229525
tier_2,1,mlp_out,transliteration,0.043525,0.14655
tier_2,1,residual,code_switching,-0.579075,0.68035
tier_2,1,residual,standard_translation,0.10875000000000001,0.5956
tier_2,1,residual,transliteration,-0.20695,0.6196
tier_2,2,attn_out,code_switching,-0.146375,0.301225
tier_2,2,attn_out,standard_translation,0.043524999999999994,0.09645000000000001
tier_2,2,attn_out,transliteration,0.005424999999999999,0.1364
tier_2,2,mlp_out,code_switching,0.09439999999999998,0.21955
tier_2,2,mlp_out,standard_translation,0.03245000000000001,0.141125
tier_2,2,mlp_out,transliteration,0.07215,0.237925
tier_2,2,residual,code_switching,-0.702025,0.859925
tier_2,2,residual,standard_translation,0.033175,0.54145
tier_2,2,residual,transliteration,-0.144975,0.57345
tier_2,3,attn_out,code_switching,-0.1574,0.23909999999999998
tier_2,3,attn_out,standard_translation,0.00715,0.09955
tier_2,3,attn_out,transliteration,-0.0241,0.127025
tier_2,3,mlp_out,code_switching,0.02355,0.3272
tier_2,3,mlp_out,standard_translation,0.002024999999999999,0.17285
tier_2,3,mlp_out,transliteration,0.057124999999999995,0.194825
tier_2,3,residual,code_switching,-0.967375,1.0727250000000002
tier_2,3,residual,standard_translation,-0.006400000000000008,0.516525
tier_2,3,residual,transliteration,-0.174925,0.55645
tier_2,4,attn_out,code_switching,0.0008250000000000028,0.09612499999999999
tier_2,4,attn_out,standard_translation,0.037325,0.044024999999999995
tier_2,4,attn_out,transliteration,-2.4999999999997247e-05,0.09920000000000001
tier_2,4,mlp_out,code_switching,-0.22504999999999997,0.273125
tier_2,4,mlp_out,standard_translation,0.035324999999999995,0.24145
tier_2,4,mlp_out,transliteration,0.11075000000000002,0.257125
tier_2,4,residual,code_switching,-0.9837499999999999,1.0673
tier_2,4,residual,standard_translation,0.0035499999999999998,0.53235
tier_2,4,residual,transliteration,-0.145575,0.5397
tier_2,5,attn_out,code_switching,-0.2914,0.348825
tier_2,5,attn_out,standard_translation,-0.05455,0.167275
tier_2,5,attn_out,transliteration,-0.009699999999999999,0.128825
tier_2,5,mlp_out,code_switching,0.05435,0.325425
tier_2,5,mlp_out,standard_translation,-0.008099999999999996,0.20395000000000002
tier_2,5,mlp_out,transliteration,0.006349999999999998,0.21205000000000002
tier_2,5,residual,code_switching,-1.14485,1.2443
tier_2,5,residual,standard_translation,-0.016025,0.52195
tier_2,5,residual,transliteration,-0.143675,0.5301
tier_2,6,attn_out,code_switching,-0.18530000000000002,0.215025
tier_2,6,attn_out,standard_translation,-0.042675000000000005,0.090825
tier_2,6,attn_out,transliteration,-0.019624999999999997,0.1648
tier_2,6,mlp_out,code_switching,-0.285425,0.516925
tier_2,6,mlp_out,standard_translation,-0.033375,0.14100000000000001
tier_2,6,mlp_out,transliteration,-0.017350000000000004,0.1775
tier_2,6,residual,code_switching,-1.28865,1.31175
tier_2,6,residual,standard_translation,0.08365000000000002,0.5199
tier_2,6,residual,transliteration,-0.15037499999999998,0.46655
tier_2,7,attn_out,code_switching,-0.160825,0.187475
tier_2,7,attn_out,standard_translation,-0.012925,0.09975
tier_2,7,attn_out,transliteration,0.0762,0.16299999999999998
tier_2,7,mlp_out,code_switching,0.07485,0.280625
tier_2,7,mlp_out,standard_translation,-0.04745,0.18005
