language,layer,category,cv_accuracy,cv_auc,best_C,n_harmful,n_benign
fr,19,unknown,0.0,0.0,1.0,384,384
fr,19,all,0.0,0.0,1.0,384,384
fr,20,unknown,0.0,0.0,1.0,384,384
fr,20,all,0.0,0.0,1.0,384,384
fr,21,unknown,0.0,0.0,1.0,384,384
fr,21,all,0.0,0.0,1.0,384,384
fr,22,unknown,0.0,0.0,1.0,384,384
fr,22,all,0.0,0.0,1.0,384,384
fr,23,unknown,0.0,0.0,1.0,384,384
fr,23,all,0.0,0.0,1.0,384,384
fr,24,unknown,0.0,0.0,1.0,384,384
fr,24,all,0.0,0.0,1.0,384,384
fr,25,unknown,0.0,0.0,1.0,384,384
fr,25,all,0.0,0.0,1.0,384,384
fr,26,unknown,0.0,0.0,1.0,384,384
fr,26,all,0.0,0.0,1.0,384,384
fr,27,unknown,0.0,0.0,1.0,384,384
fr,27,all,0.0,0.0,1.0,384,384
fr,28,unknown,0.0,0.0,1.0,384,384
fr,28,all,0.0,0.0,1.0,384,384
fr,29,unknown,0.0,0.0,1.0,384,384
fr,29,all,0.0,0.0,1.0,384,384
fr,30,unknown,0.0,0.0,1.0,384,384
fr,30,all,0.0,0.0,1.0,384,384
fr,31,unknown,0.0,0.0,1.0,384,384
fr,31,all,0.0,0.0,1.0,384,384
zh,0,unknown,0.0,0.0,1.0,384,384
zh,0,all,0.0,0.0,1.0,384,384
zh,1,unknown,0.0,0.0,1.0,384,384
zh,1,all,0.0,0.0,1.0,384,384
zh,2,unknown,0.0,0.0,1.0,384,384
zh,2,all,0.0,0.0,1.0,384,384
zh,3,unknown,0.0,0.0,1.0,384,384
zh,3,all,0.0,0.0,1.0,384,384
zh,4,unknown,0.0,0.0,1.0,384,384
zh,4,all,0.0,0.0,1.0,384,384
zh,5,unknown,0.0,0.0,1.0,384,384
zh,5,all,0.0,0.0,1.0,384,384
zh,6,unknown,0.0,0.0,1.0,384,384
zh,6,all,0.0,0.0,1.0,384,384
zh,7,unknown,0.0,0.0,1.0,384,384
zh,7,all,0.0,0.0,1.0,384,384
zh,8,unknown,0.0,0.0,1.0,384,384
zh,8,all,0.0,0.0,1.0,384,384
zh,9,unknown,0.0,0.0,1.0,384,384
zh,9,all,0.0,0.0,1.0,384,384
