tier,layer,component,perturbation,mean_restoration,std_restoration
tier_2,11,residual,transliteration,0.19665000000000002,0.322225
tier_2,12,attn_out,code_switching,-0.0081,0.02785
tier_2,12,attn_out,standard_translation,-0.04145,0.115825
tier_2,12,attn_out,transliteration,-0.029675,0.19105
tier_2,12,mlp_out,code_switching,0.065925,0.101325
tier_2,12,mlp_out,standard_translation,0.090975,0.27885
tier_2,12,mlp_out,transliteration,-0.1547,0.327125
tier_2,12,residual,code_switching,0.1409,0.34645000000000004
tier_2,12,residual,standard_translation,0.406475,0.8892
tier_2,12,residual,transliteration,0.10984999999999999,0.526625
tier_2,13,attn_out,code_switching,0.005825,0.011375
tier_2,13,attn_out,standard_translation,0.023200000000000002,0.11287499999999999
tier_2,13,attn_out,transliteration,-0.08155000000000001,0.363025
tier_2,13,mlp_out,code_switching,0.037375,0.07295
tier_2,13,mlp_out,standard_translation,0.09857500000000001,0.39565
tier_2,13,mlp_out,transliteration,0.04014999999999999,0.405775
tier_2,13,residual,code_switching,0.141475,0.374925
tier_2,13,residual,standard_translation,0.430325,0.96055
tier_2,13,residual,transliteration,0.08762500000000001,0.569875
tier_2,14,attn_out,code_switching,0.005050000000000001,0.010575000000000001
tier_2,14,attn_out,standard_translation,-0.026875,0.043975
tier_2,14,attn_out,transliteration,0.045075000000000004,0.09115000000000001
tier_2,14,mlp_out,code_switching,0.00275,0.0675
tier_2,14,mlp_out,standard_translation,0.029075,0.20175
tier_2,14,mlp_out,transliteration,-0.26665,0.5628
tier_2,14,residual,code_switching,0.1281,0.34704999999999997
tier_2,14,residual,standard_translation,0.489775,0.99
tier_2,14,residual,transliteration,0.0021250000000000123,0.70095
tier_2,15,attn_out,code_switching,0.009925,0.010624999999999999
tier_2,15,attn_out,standard_translation,-0.0077,0.064825
tier_2,15,attn_out,transliteration,-0.075425,0.2271
tier_2,15,mlp_out,code_switching,-0.002625,0.03375
tier_2,15,mlp_out,standard_translation,0.16847499999999999,0.3101
tier_2,15,mlp_out,transliteration,-0.10902499999999998,0.28095000000000003
tier_2,15,residual,code_switching,0.13772500000000001,0.3581
tier_2,15,residual,standard_translation,0.31575,0.6918
tier_2,15,residual,transliteration,-0.031849999999999996,0.68415
tier_2,16,attn_out,code_switching,-0.00115,0.014175
tier_2,16,attn_out,standard_translation,-0.003175,0.03065
tier_2,16,attn_out,transliteration,-0.038424999999999994,0.153425
tier_2,16,mlp_out,code_switching,0.0065249999999999996,0.029975
tier_2,16,mlp_out,standard_translation,0.17407500000000004,0.30310000000000004
tier_2,16,mlp_out,transliteration,-0.038525000000000004,0.24315
tier_2,16,residual,code_switching,0.1415,0.37055
tier_2,16,residual,standard_translation,0.21247499999999997,0.5312
tier_2,16,residual,transliteration,-0.131825,0.84895
tier_2,17,attn_out,code_switching,0.00125,0.007475
tier_2,17,attn_out,standard_translation,-0.004725,0.007474999999999999
tier_2,17,attn_out,transliteration,0.010324999999999999,0.11637499999999999
tier_2,17,mlp_out,code_switching,0.0111,0.021075
tier_2,17,mlp_out,standard_translation,0.05485,0.0741
tier_2,17,mlp_out,transliteration,-0.08080000000000001,0.275825
tier_2,17,residual,code_switching,0.154325,0.31010000000000004
tier_2,17,residual,standard_translation,-0.006075,0.105725
tier_2,17,residual,transliteration,-0.09347499999999999,0.509775
tier_2,18,attn_out,code_switching,-0.007475,0.0185
tier_2,18,attn_out,standard_translation,-0.003425,0.01965
tier_2,18,attn_out,transliteration,-0.0133,0.106675
tier_2,18,mlp_out,code_switching,0.013275,0.068525
tier_2,18,mlp_out,standard_translation,0.032350000000000004,0.06457500000000001
tier_2,18,mlp_out,transliteration,-0.08789999999999999,0.21707500000000002
tier_2,18,residual,code_switching,0.16012500000000002,0.319675
tier_2,18,residual,standard_translation,-0.00505,0.1502
tier_2,18,residual,transliteration,-0.07300000000000001,0.44420000000000004
tier_2,19,attn_out,code_switching,0.0020499999999999997,0.009225
tier_2,19,attn_out,standard_translation,0.016025,0.03215
tier_2,19,attn_out,transliteration,0.03749999999999999,0.063675
tier_2,19,mlp_out,code_switching,0.023525,0.05485
tier_2,19,mlp_out,standard_translation,-0.019424999999999998,0.04725
tier_2,19,mlp_out,transliteration,-0.04505000000000001,0.192525
tier_2,19,residual,code_switching,0.16352499999999998,0.31584999999999996
tier_2,19,residual,standard_translation,0.04832500000000001,0.1108
