language,layer,category,cv_accuracy,cv_auc,best_C,n_harmful,n_benign
de,26,all,0.9701923076923077,0.9977107988165681,0.01,520,520
de,27,unknown,0.9663461538461539,0.9977440828402367,0.01,520,520
de,27,all,0.9663461538461539,0.9977440828402367,0.01,520,520
de,28,unknown,0.9701923076923077,0.9977810650887574,0.01,520,520
de,28,all,0.9701923076923077,0.9977810650887574,0.01,520,520
de,29,unknown,0.9711538461538461,0.9978698224852072,0.01,520,520
de,29,all,0.9711538461538461,0.9978698224852072,0.01,520,520
de,30,unknown,0.9701923076923077,0.9979326923076923,0.01,520,520
de,30,all,0.9701923076923077,0.9979326923076923,0.01,520,520
de,31,unknown,0.9682692307692308,0.9978735207100591,0.01,520,520
de,31,all,0.9682692307692308,0.9978735207100591,0.01,520,520
fr,0,unknown,0.9701923076923077,0.9966863905325444,1.0,520,520
fr,0,all,0.9701923076923077,0.9966863905325444,1.0,520,520
fr,1,unknown,0.9759615384615384,0.9978513313609467,1.0,520,520
fr,1,all,0.9759615384615384,0.9978513313609467,1.0,520,520
fr,2,unknown,0.9028846153846154,0.9698335798816569,0.01,520,520
fr,2,all,0.9028846153846154,0.9698335798816569,0.01,520,520
fr,3,unknown,0.9576923076923077,0.9935022189349112,0.01,520,520
fr,3,all,0.9576923076923077,0.9935022189349112,0.01,520,520
fr,4,unknown,0.9653846153846154,0.9957877218934912,0.01,520,520
fr,4,all,0.9653846153846154,0.9957877218934912,0.01,520,520
fr,5,unknown,0.9625,0.996405325443787,0.01,520,520
fr,5,all,0.9625,0.996405325443787,0.01,520,520
fr,6,unknown,0.9653846153846154,0.9968047337278108,0.01,520,520
fr,6,all,0.9653846153846154,0.9968047337278108,0.01,520,520
fr,7,unknown,0.9663461538461539,0.9970636094674554,0.01,520,520
fr,7,all,0.9663461538461539,0.9970636094674554,0.01,520,520
fr,8,unknown,0.9663461538461539,0.9972559171597634,0.01,520,520
fr,8,all,0.9663461538461539,0.9972559171597634,0.01,520,520
fr,9,unknown,0.9673076923076923,0.9971893491124261,0.01,520,520
fr,9,all,0.9673076923076923,0.9971893491124261,0.01,520,520
fr,10,unknown,0.9682692307692308,0.9972928994082841,0.01,520,520
fr,10,all,0.9682692307692308,0.9972928994082841,0.01,520,520
fr,11,unknown,0.9692307692307692,0.9972633136094675,0.01,520,520
fr,11,all,0.9692307692307692,0.9972633136094675,0.01,520,520
fr,12,unknown,0.9682692307692308,0.9973520710059172,0.01,520,520
fr,12,all,0.9682692307692308,0.9973520710059172,0.01,520,520
fr,13,unknown,0.9682692307692308,0.9972744082840237,0.01,520,520
fr,13,all,0.9682692307692308,0.9972744082840237,0.01,520,520
fr,14,unknown,0.9682692307692308,0.9973113905325444,0.01,520,520
fr,14,all,0.9682692307692308,0.9973113905325444,0.01,520,520
fr,15,unknown,0.9682692307692308,0.9971079881656805,0.01,520,520
fr,15,all,0.9682692307692308,0.9971079881656805,0.01,520,520
fr,16,unknown,0.9673076923076923,0.997034023668639,0.01,520,520
fr,16,all,0.9673076923076923,0.997034023668639,0.01,520,520
fr,17,unknown,0.9663461538461539,0.996875,0.01,520,520
fr,17,all,0.9663461538461539,0.996875,0.01,520,520
fr,18,unknown,0.9653846153846154,0.9968860946745562,0.01,520,520
fr,18,all,0.9653846153846154,0.9968860946745562,0.01,520,520
fr,19,unknown,0.9653846153846154,0.9968417159763313,0.01,520,520
fr,19,all,0.9653846153846154,0.9968417159763313,0.01,520,520
fr,20,unknown,0.9653846153846154,0.9967085798816568,0.01,520,520
fr,20,all,0.9653846153846154,0.9967085798816568,0.01,520,520
fr,21,unknown,0.9653846153846154,0.9966383136094675,0.01,520,520
fr,21,all,0.9653846153846154,0.9966383136094675,0.01,520,520
fr,22,unknown,0.9653846153846154,0.9964940828402367,0.01,520,520
fr,22,all,0.9653846153846154,0.9964940828402367,0.01,520,520
fr,23,unknown,0.9644230769230769,0.996512573964497,0.01,520,520
fr,23,all,0.9644230769230769,0.996512573964497,0.01,520,520
fr,24,unknown,0.9663461538461539,0.9965199704142012,0.01,520,520
fr,24,all,0.9663461538461539,0.9965199704142012,0.01,520,520
fr,25,unknown,0.9653846153846154,0.9964903846153845,0.01,520,520
fr,25,all,0.9653846153846154,0.9964903846153845,0.01,520,520
fr,26,unknown,0.9653846153846154,0.9965717455621302,0.01,520,520
fr,26,all,0.9653846153846154,0.9965717455621302,0.01,520,520
fr,27,unknown,0.9673076923076923,0.9966198224852072,0.01,520,520
fr,27,all,0.9673076923076923,0.9966198224852072,0.01,520,520
fr,28,unknown,0.9653846153846154,0.9965791420118344,0.01,520,520
fr,28,all,0.9653846153846154,0.9965791420118344,0.01,520,520
fr,29,unknown,0.9644230769230769,0.9966568047337279,0.01,520,520
fr,29,all,0.9644230769230769,0.9966568047337279,0.01,520,520
fr,30,unknown,0.9663461538461539,0.9967973372781066,0.01,520,520
fr,30,all,0.9663461538461539,0.9967973372781066,0.01,520,520
fr,31,unknown,0.9673076923076923,0.9966900887573964,0.01,520,520
fr,31,all,0.9673076923076923,0.9966900887573964,0.01,520,520
zh,0,unknown,0.9567307692307693,0.9947744082840236,1.0,520,520
zh,0,all,0.9567307692307693,0.9947744082840236,1.0,520,520
zh,1,unknown,0.9596153846153846,0.9958062130177514,1.0,520,520
zh,1,all,0.9596153846153846,0.9958062130177514,1.0,520,520
zh,2,unknown,0.95,0.9930140532544379,0.1,520,520
zh,2,all,0.95,0.9930140532544379,0.1,520,520
zh,3,unknown,0.9596153846153846,0.9957877218934911,0.1,520,520
zh,3,all,0.9596153846153846,0.9957877218934911,0.1,520,520
zh,4,unknown,0.9615384615384616,0.9960872781065089,0.1,520,520
zh,4,all,0.9615384615384616,0.9960872781065089,0.1,520,520
zh,5,unknown,0.9519230769230769,0.9943121301775149,0.01,520,520
zh,5,all,0.9519230769230769,0.9943121301775149,0.01,520,520
zh,6,unknown,0.9528846153846153,0.9946227810650887,0.01,520,520
zh,6,all,0.9528846153846153,0.9946227810650887,0.01,520,520
zh,7,unknown,0.9538461538461539,0.995003698224852,0.01,520,520
zh,7,all,0.9538461538461539,0.995003698224852,0.01,520,520
zh,8,unknown,0.9557692307692308,0.9949741124260354,0.01,520,520
zh,8,all,0.9557692307692308,0.9949741124260354,0.01,520,520
zh,9,unknown,0.9576923076923077,0.9949815088757397,0.01,520,520
zh,9,all,0.9576923076923077,0.9949815088757397,0.01,520,520
zh,10,unknown,0.9557692307692308,0.9949334319526627,0.01,520,520
zh,10,all,0.9557692307692308,0.9949334319526627,0.01,520,520
zh,11,unknown,0.9567307692307693,0.9948853550295857,0.01,520,520
zh,11,all,0.9567307692307693,0.9948853550295857,0.01,520,520
zh,12,unknown,0.9538461538461539,0.9949186390532544,0.01,520,520
zh,12,all,0.9538461538461539,0.9949186390532544,0.01,520,520
zh,13,unknown,0.9557692307692308,0.9949186390532544,0.01,520,520
zh,13,all,0.9557692307692308,0.9949186390532544,0.01,520,520
zh,14,unknown,0.9557692307692308,0.994733727810651,0.01,520,520
zh,14,all,0.9557692307692308,0.994733727810651,0.01,520,520
zh,15,unknown,0.9548076923076924,0.994685650887574,0.01,520,520
zh,15,all,0.9548076923076924,0.994685650887574,0.01,520,520
zh,16,unknown,0.9557692307692308,0.9944711538461538,0.01,520,520
zh,16,all,0.9557692307692308,0.9944711538461538,0.01,520,520
zh,17,unknown,0.9557692307692308,0.994378698224852,0.01,520,520
zh,17,all,0.9557692307692308,0.994378698224852,0.01,520,520
