layer,language,effective_rank,top_sv
5,zh,127,83.56649017333984
6,zh,129,89.6002197265625
7,zh,133,100.53944396972656
8,zh,128,109.4374771118164
9,zh,142,120.05569458007812
10,zh,146,121.9598159790039
11,zh,149,129.2671661376953
12,zh,151,131.0789794921875
13,zh,150,139.0565948486328
14,zh,153,148.8857879638672
15,zh,153,156.7940673828125
16,zh,142,185.37301635742188
17,zh,142,230.71461486816406
18,zh,133,260.62274169921875
19,zh,131,285.4268493652344
20,zh,127,317.6435852050781
21,zh,126,348.8630065917969
22,zh,126,385.0824279785156
23,zh,125,433.3587341308594
24,zh,126,486.603759765625
25,zh,125,560.6098022460938
26,zh,125,617.2369995117188
27,zh,126,677.7832641601562
28,zh,126,770.7026977539062
29,zh,126,847.2417602539062
30,zh,125,953.8756713867188
31,zh,117,1042.8929443359375
0,es,83,20.077600479125977
1,es,82,34.45220184326172
2,es,85,41.960289001464844
3,es,109,47.352603912353516
4,es,121,48.45367431640625
5,es,136,59.262611389160156
6,es,140,61.47306442260742
7,es,131,85.89094543457031
8,es,125,97.38362884521484
9,es,135,111.6561508178711
10,es,135,119.50128936767578
11,es,137,122.8184585571289
12,es,138,128.48831176757812
13,es,136,136.96426391601562
14,es,139,149.6532745361328
15,es,139,161.55747985839844
16,es,129,194.16586303710938
17,es,130,232.61131286621094
18,es,122,252.17091369628906
19,es,120,271.1707458496094
20,es,118,290.84014892578125
21,es,117,316.3121643066406
22,es,118,346.6283874511719
23,es,118,386.37445068359375
24,es,119,422.6947937011719
25,es,119,479.9594421386719
26,es,120,529.2207641601562
27,es,120,594.7711181640625
28,es,121,694.0076904296875
29,es,119,793.8939819335938
30,es,116,946.44189453125
31,es,106,1056.2906494140625
0,ar,97,21.547636032104492
1,ar,95,36.52631759643555
2,ar,93,49.56661605834961
3,ar,115,53.886905670166016
4,ar,123,54.997127532958984
5,ar,138,68.74128723144531
6,ar,138,73.46479797363281
7,ar,131,85.18595886230469
8,ar,126,93.22737121582031
9,ar,137,102.55746459960938
10,ar,139,105.57276916503906
11,ar,144,107.46377563476562
12,ar,146,111.68851470947266
13,ar,145,119.59586334228516
14,ar,148,130.20640563964844
15,ar,147,145.55740356445312
16,ar,136,177.84461975097656
17,ar,138,219.94601440429688
18,ar,128,264.1992492675781
19,ar,124,301.6640319824219
20,ar,118,347.1454162597656
21,ar,117,387.1671142578125
22,ar,118,420.60174560546875
23,ar,117,475.9319152832031
24,ar,117,534.8729248046875
25,ar,114,633.5626220703125
26,ar,113,703.6707763671875
27,ar,113,788.5782470703125
28,ar,113,907.3290405273438
29,ar,114,1022.9603881835938
30,ar,115,1199.603515625
31,ar,115,1254.4351806640625
0,ru,96,20.561023712158203
1,ru,93,32.81370162963867
2,ru,90,42.80882263183594
3,ru,112,47.0230712890625
4,ru,121,48.00012969970703
5,ru,136,55.89936065673828
6,ru,138,58.4747428894043
7,ru,126,82.52027130126953
8,ru,120,94.7409896850586
9,ru,130,110.57186126708984
10,ru,132,117.45613861083984
11,ru,135,117.2713623046875
12,ru,135,121.39159393310547
13,ru,134,128.80206298828125
14,ru,136,145.45675659179688
15,ru,135,161.17318725585938
16,ru,125,197.72850036621094
17,ru,126,235.2720947265625
18,ru,118,253.86964416503906
19,ru,116,273.1125183105469
20,ru,112,289.3961486816406
21,ru,112,310.6620178222656
22,ru,113,332.5298767089844
23,ru,112,368.735107421875
24,ru,112,406.302734375
25,ru,110,455.37994384765625
26,ru,108,504.4088439941406
27,ru,108,560.9647216796875
28,ru,107,645.4974365234375
29,ru,104,722.3456420898438
30,ru,101,843.3007202148438
31,ru,95,977.2037963867188
0,ko,41,21.176921844482422
1,ko,42,35.29851531982422
2,ko,43,43.96385192871094
3,ko,79,48.423526763916016
4,ko,108,48.78395462036133
5,ko,131,57.3277587890625
6,ko,133,62.0195198059082
7,ko,127,89.62645721435547
8,ko,126,101.50391387939453
9,ko,138,113.71931457519531
10,ko,143,115.78504943847656
11,ko,144,116.14496612548828
12,ko,145,120.43622589111328
13,ko,146,128.53236389160156
14,ko,146,147.15524291992188
15,ko,144,163.19691467285156
16,ko,131,214.89578247070312
17,ko,133,263.6919250488281
18,ko,121,308.5707092285156
19,ko,119,341.39593505859375
20,ko,115,378.47930908203125
21,ko,117,407.9613952636719
22,ko,117,443.8201599121094
23,ko,117,499.13287353515625
24,ko,119,553.7055053710938
25,ko,120,623.9168701171875
26,ko,121,692.3113403320312
27,ko,123,757.2431030273438
28,ko,123,876.6192016601562
29,ko,127,985.4013061523438
30,ko,127,1140.9432373046875
31,ko,125,1160.946044921875
0,ja,46,20.517230987548828
1,ja,43,38.62931823730469
2,ja,41,52.814125061035156
3,ja,68,58.80109405517578
4,ja,95,58.821998596191406
5,ja,119,81.36241149902344
6,ja,121,87.17018127441406
7,ja,119,108.14881134033203
8,ja,119,113.9917984008789
9,ja,135,118.86434936523438
10,ja,141,118.71875
11,ja,143,119.35723114013672
12,ja,144,122.72657775878906
13,ja,144,128.18405151367188
14,ja,144,146.58856201171875
15,ja,143,164.0955352783203
16,ja,129,218.8670654296875
17,ja,129,262.80828857421875
18,ja,120,294.2077331542969
19,ja,117,323.24163818359375
20,ja,112,366.584228515625
21,ja,113,404.8777770996094
22,ja,114,446.2725524902344
23,ja,115,510.1947021484375
24,ja,116,576.3146362304688
25,ja,117,639.998046875
26,ja,117,712.3812866210938
27,ja,120,778.4069213867188
28,ja,121,887.0294799804688
29,ja,124,989.6637573242188
30,ja,125,1140.408935546875
31,ja,127,1158.5771484375
0,tr,47,21.510671615600586
1,tr,49,34.67060852050781
2,tr,50,44.39911651611328
3,tr,85,49.228721618652344
4,tr,117,49.7376708984375
5,tr,147,60.726680755615234
6,tr,150,64.37164306640625
7,tr,145,79.61125946044922
8,tr,143,90.5121078491211
9,tr,155,102.0671615600586
10,tr,157,104.94445037841797
11,tr,158,104.7501449584961
12,tr,158,111.00189208984375
13,tr,160,117.96420288085938
14,tr,160,135.19839477539062
15,tr,157,146.59507751464844
16,tr,143,204.61090087890625
17,tr,142,257.3133850097656
18,tr,125,340.9638671875
19,tr,120,393.1598205566406
20,tr,114,460.0693664550781
21,tr,118,497.019775390625
22,tr,118,538.5740966796875
23,tr,118,611.8005981445312
24,tr,119,686.380859375
25,tr,120,764.7777099609375
26,tr,118,854.7689819335938
27,tr,124,938.43310546875
28,tr,125,1108.977294921875
29,tr,125,1313.3455810546875
30,tr,130,1574.748046875
31,tr,134,1580.5540771484375
0,id,73,20.609193801879883
1,id,74,34.976905822753906
2,id,77,42.51902770996094
3,id,101,47.37276077270508
4,id,115,48.32036209106445
5,id,139,56.586727142333984
6,id,140,58.822120666503906
7,id,134,75.31532287597656
8,id,128,83.96678924560547
9,id,136,98.43958282470703
10,id,136,105.74979400634766
11,id,139,108.6371841430664
12,id,138,114.46455383300781
13,id,136,124.70066833496094
14,id,138,141.2078857421875
15,id,136,157.0984344482422
16,id,125,192.3621826171875
17,id,125,239.78009033203125
18,id,116,276.1068115234375
19,id,113,306.5624694824219
20,id,109,339.6431884765625
21,id,108,369.35321044921875
22,id,109,396.873046875
23,id,108,444.199951171875
24,id,109,491.03387451171875
25,id,107,555.0226440429688
26,id,106,616.26123046875
27,id,106,675.7565307617188
28,id,107,782.19140625
29,id,103,897.0056762695312
30,id,104,1037.557373046875
31,id,101,1119.5438232421875
0,hi,27,22.713388442993164
1,hi,31,37.75411605834961
2,hi,30,53.947322845458984
3,hi,50,56.94118118286133
4,hi,68,59.7083625793457
5,hi,106,66.62894439697266
6,hi,114,68.92227172851562
7,hi,118,80.14939880371094
8,hi,119,86.73921966552734
9,hi,135,101.31639862060547
10,hi,136,110.14244079589844
11,hi,137,115.69331359863281
12,hi,139,119.3688735961914
13,hi,140,127.3343276977539
14,hi,143,143.3483428955078
15,hi,141,155.28614807128906
16,hi,129,198.6351318359375
17,hi,130,249.97006225585938
18,hi,114,333.97100830078125
19,hi,112,384.7459411621094
20,hi,105,452.8799743652344
21,hi,107,498.4218444824219
22,hi,108,541.3115844726562
23,hi,107,626.8600463867188
24,hi,108,704.8115234375
25,hi,105,801.3441772460938
26,hi,105,888.98486328125
27,hi,107,983.5811767578125
28,hi,106,1142.4449462890625
29,hi,107,1278.307373046875
30,hi,111,1436.3017578125
31,hi,107,1629.0938720703125
0,sw,73,21.07988929748535
1,sw,90,34.19309997558594
2,sw,90,45.63740539550781
3,sw,114,48.579444885253906
4,sw,127,50.1276969909668
