language,layer,harm_component_norm,refusal_component_norm,t_inst_harm_signal,t_post_inst_refusal_signal,failure_type
sw,14,2.4194,0.0154,-0.0629,0.4065,mixed
sw,15,2.5742,0.0534,-0.007,0.4065,mixed
sw,16,2.6864,0.0262,-0.059,0.4065,mixed
sw,17,2.7761,0.0396,0.0348,0.4065,mixed
sw,18,2.797,0.0012,-0.0242,0.4065,mixed
sw,19,2.8731,0.0182,0.0144,0.4065,mixed
sw,20,2.9335,0.0153,-0.0038,0.4065,mixed
sw,21,2.9865,0.0274,-0.0134,0.4065,mixed
tr,10,1.8413,0.0024,0.1937,0.2009,mixed
tr,11,3.0151,0.0179,0.3116,0.2009,mixed
tr,12,1.7291,0.0092,0.1306,0.2009,mixed
tr,13,1.6355,0.002,0.0755,0.2009,mixed
tr,14,1.633,0.0025,-0.1524,0.2009,mixed
tr,15,1.741,0.0059,-0.1791,0.2009,mixed
tr,16,1.8127,0.0527,-0.2009,0.2009,mixed
tr,17,1.8762,0.0413,-0.0824,0.2009,mixed
tr,18,1.8985,0.0242,-0.0433,0.2009,mixed
tr,19,1.9491,0.0168,-0.0531,0.2009,mixed
tr,20,1.9554,0.0087,-0.159,0.2009,mixed
tr,21,1.9655,0.0103,-0.1836,0.2009,mixed
yo,10,9.8186,0.2723,-0.1225,0.4834,mixed
yo,11,3.4531,0.0481,-0.039,0.4834,mixed
yo,12,3.4696,0.0729,-0.2222,0.4834,mixed
yo,13,3.4129,0.0166,-0.1856,0.4834,mixed
yo,14,3.4795,0.0808,-0.0649,0.4834,mixed
yo,15,3.5818,0.038,-0.0724,0.4834,mixed
yo,16,3.6411,0.0391,-0.0585,0.4834,mixed
yo,17,3.6889,0.0443,0.0411,0.4834,mixed
yo,18,3.6705,0.0614,-0.0022,0.4834,mixed
yo,19,3.6935,0.0287,-0.0313,0.4834,mixed
yo,20,8.2839,0.0669,-0.0015,0.4834,mixed
yo,21,8.2421,0.0696,-0.0524,0.4834,mixed
zh,10,2.347,0.0241,0.0599,0.3035,mixed
zh,11,2.4427,0.0194,-0.0059,0.3035,mixed
zh,12,1.8226,0.084,-0.1174,0.3035,mixed
zh,13,1.9208,0.0933,0.0275,0.3035,mixed
zh,14,1.9286,0.0693,-0.0589,0.3035,mixed
zh,15,2.2576,0.0817,-0.0563,0.3035,mixed
zh,16,1.9733,0.0694,-0.0784,0.3035,mixed
zh,17,2.8425,0.0323,-0.0029,0.3035,mixed
zh,18,2.7588,0.0199,-0.0016,0.3035,mixed
zh,19,2.1093,0.0553,0.0255,0.3035,mixed
zh,20,2.1218,0.0327,-0.0225,0.3035,mixed
zh,21,2.9228,0.0792,0.0422,0.3035,mixed
zu,10,3.366,0.0492,-0.031,0.4116,mixed
zu,11,3.4092,0.0137,0.0356,0.4116,mixed
zu,12,3.3949,0.0267,0.0882,0.4116,mixed
zu,13,1.2286,0.0148,0.1167,0.4116,mixed
zu,14,3.3626,0.0298,0.0151,0.4116,mixed
zu,15,3.5087,0.0224,0.0424,0.4116,mixed
zu,16,3.4762,0.0459,0.1265,0.4116,mixed
zu,17,3.5202,0.0463,0.091,0.4116,mixed
zu,18,3.5576,0.0244,-0.0013,0.4116,mixed
zu,19,3.6081,0.0216,-0.0192,0.4116,mixed
zu,20,3.6085,0.0316,-0.0959,0.4116,mixed
zu,21,3.6718,0.0073,0.0051,0.4116,mixed
