layer,language,effective_rank,top_sv
1,sw,64,1.959541916847229
2,sw,5,8.545052528381348
3,sw,17,12.988946914672852
4,sw,51,16.262290954589844
5,sw,62,19.801902770996094
6,sw,69,21.347379684448242
7,sw,74,24.237545013427734
8,sw,77,31.26054573059082
9,sw,92,33.74168395996094
10,sw,103,37.03450012207031
11,sw,100,38.70661926269531
12,sw,110,39.24745178222656
13,sw,111,41.27922058105469
14,sw,104,44.56130599975586
15,sw,76,53.80669021606445
16,sw,58,66.9526596069336
17,sw,51,69.55256652832031
18,sw,49,74.40713500976562
19,sw,39,88.53424072265625
20,sw,38,97.14257049560547
21,sw,32,113.3759536743164
22,sw,30,128.2324676513672
23,sw,30,139.6483154296875
24,sw,35,141.9716796875
25,sw,37,156.72900390625
26,sw,40,172.388671875
27,sw,44,187.98956298828125
28,sw,48,203.1554718017578
29,sw,53,225.2638702392578
30,sw,62,257.2330322265625
31,sw,70,315.7419128417969
0,yo,13,3.4576380252838135
1,yo,34,3.292410373687744
2,yo,5,10.403447151184082
3,yo,12,15.110435485839844
4,yo,30,18.973003387451172
5,yo,34,23.052541732788086
6,yo,42,24.78700065612793
7,yo,44,28.932870864868164
8,yo,44,36.06292724609375
9,yo,51,39.01853942871094
10,yo,55,43.62025833129883
11,yo,51,46.47874450683594
12,yo,58,47.38798904418945
13,yo,64,48.5242919921875
14,yo,58,52.663516998291016
15,yo,38,63.17721939086914
16,yo,30,74.37577819824219
17,yo,25,78.85710144042969
18,yo,24,84.56056213378906
19,yo,23,94.75506591796875
20,yo,14,129.32972717285156
21,yo,14,140.7334747314453
22,yo,15,150.4405517578125
23,yo,17,161.79083251953125
24,yo,18,178.41722106933594
25,yo,20,195.9224090576172
26,yo,22,217.42147827148438
27,yo,26,239.44879150390625
28,yo,27,266.6763000488281
29,yo,31,299.30706787109375
30,yo,37,342.8183898925781
31,yo,41,411.90252685546875
0,zu,34,2.231271982192993
1,zu,61,2.2978641986846924
2,zu,5,9.203330993652344
3,zu,19,13.615250587463379
4,zu,48,16.99726676940918
5,zu,56,20.239234924316406
6,zu,58,21.74552345275879
7,zu,59,24.46467399597168
8,zu,58,29.911659240722656
9,zu,71,31.96114158630371
10,zu,74,35.3319206237793
11,zu,71,37.671058654785156
12,zu,81,38.12501525878906
13,zu,93,38.61808395385742
14,zu,88,41.8054313659668
15,zu,67,49.060096740722656
16,zu,57,58.01686477661133
17,zu,51,61.1069450378418
18,zu,47,67.89910888671875
19,zu,43,77.41621398925781
20,zu,41,86.69596862792969
21,zu,36,99.774658203125
22,zu,36,108.90238952636719
23,zu,38,120.26028442382812
24,zu,40,132.67628479003906
25,zu,40,153.15550231933594
26,zu,43,171.0199432373047
27,zu,48,189.2572784423828
28,zu,52,209.9217529296875
29,zu,56,235.24429321289062
30,zu,64,269.4979553222656
31,zu,67,320.7582702636719
0,gd,30,2.0557022094726562
1,gd,54,2.2663514614105225
2,gd,4,9.721559524536133
3,gd,15,14.02581787109375
4,gd,40,17.406803131103516
5,gd,49,20.591989517211914
6,gd,55,22.314865112304688
7,gd,61,24.824230194091797
8,gd,63,31.249755859375
9,gd,77,33.96064758300781
10,gd,85,36.76177215576172
11,gd,83,38.794498443603516
12,gd,94,38.88997268676758
13,gd,105,39.51334762573242
14,gd,101,42.575618743896484
15,gd,78,50.67869186401367
16,gd,66,59.00836944580078
17,gd,52,67.44754028320312
18,gd,45,75.42365264892578
19,gd,40,83.95361328125
20,gd,39,91.27690124511719
21,gd,35,102.53007507324219
22,gd,35,108.35953521728516
23,gd,37,115.63314819335938
24,gd,37,128.5560302734375
25,gd,38,144.70664978027344
26,gd,41,158.28359985351562
27,gd,43,178.67669677734375
28,gd,46,195.48106384277344
29,gd,50,216.5715789794922
30,gd,56,241.00369262695312
31,gd,60,275.0457763671875
0,gn,39,2.0606725215911865
1,gn,75,2.034015655517578
2,gn,9,8.441495895385742
3,gn,46,11.913241386413574
4,gn,82,15.08791732788086
5,gn,85,18.70266342163086
6,gn,87,20.397689819335938
7,gn,91,22.55315589904785
8,gn,92,27.768531799316406
9,gn,106,28.710552215576172
10,gn,113,31.157642364501953
11,gn,107,34.16790008544922
12,gn,116,34.266845703125
13,gn,124,34.89741134643555
14,gn,120,37.150901794433594
15,gn,98,43.22898864746094
16,gn,88,51.386436462402344
17,gn,75,60.469818115234375
18,gn,65,76.3592529296875
19,gn,63,88.72494506835938
20,gn,54,111.58743286132812
21,gn,56,122.96343994140625
22,gn,58,136.22088623046875
23,gn,63,146.54962158203125
24,gn,64,170.57066345214844
25,gn,71,185.66917419433594
26,gn,80,203.1954345703125
27,gn,88,227.36520385742188
28,gn,99,244.87966918945312
29,gn,109,268.1366271972656
30,gn,119,300.4416809082031
31,gn,123,349.5147705078125
